topic	'gravy'	'trainer'	'candle'	'bus'	'tree'	'goalie'	'singer'	'woman'	'touched'	'stretched'	'lit'	'hit'	'crushed'	'kicked'	'kissed'	'consoled'	'broccoli'	'dancer'	'match'	'truck'	'car'	'referee'	'guitarist'	'man'
142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	606
143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
146	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	738
147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
150	0	0	0	0	0	0	279	178	0	0	0	1525	0	0	0	0	0	0	0	0	0	0	0	0
151	0	0	0	0	127	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
152	0	0	0	781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	65	0
153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
157	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
158	0	0	0	49	0	0	2955	0	0	0	0	44	0	278	0	0	0	134	0	0	0	0	0	0
159	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142
160	0	0	0	0	0	0	0	0	0	0	16	625	0	0	0	0	0	0	314	0	0	0	0	0
161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
163	0	0	0	1239	0	0	0	485	0	0	0	2965	0	0	0	0	0	0	0	1278	3994	0	0	847
